species,PC1,Location,Confirmed_Coordinates,Coordinates_Lat_Long,Lat_machine_readable,Long_machine_readable,Date collected ,Date_collected_cleaned ,Date_collected_cleaned_machine_readable,Habitat/ distrbution,Concerns/Notes,figure Number/source,Collector and number,avg_temp,min_temp,max_temp,Precipitation,Snowfall,avg_temp_monthly,min_temp_monthly,max_temp_monthly,Precipitation_monthly,Snowfall_monthly,Notes,min_length,max_length,avg_length,min_width,max_width,avg_width,avg_volume_estimated,estimated_volume,avg_length_old,avg_width_old
A_conicobulbosa,-0.056674101,"Australia, South Australia, Kinchina,",,"35.1000° S, 139.2000° E",-35.1,139.2,Without date; Oct 10. 1925,10/10/1925,10/10/1925,Terrestrial in south Australia ,,figs 146-148,J.B Cleland 9202; J.B Cleland 9203,,,,,,,,,,,,10,13,11.5,6,7.5,6.75,,188.0374102,11.5,6.75
A_straminea,-0.048088846,"Australia, S. Autralia, Kinchina",,"35.1000° S, 139.2000° E",-35.1,139.2,June 8 1926,6/8/1926,6/8/1926,Terrestrial under shrubs in South Australia,,figs 294-196,J.B Cleland 9271,,,,,,,,,,,,10.5,12,11.25,6.5,8,7.25,,,,
A_prairiicola,0.040248964,"USA, Kansas, Rooks Co; Stockton",,"39.4381° N, 99.2651° W",39.4381,-99.2651,Sept 17 1896; June 20 1927,6/20/1927,6/20/1927,Terrestrial in open prairies in Kansas,,fig 38,E. Bartholomew; E. Bartholomew,,,,,,,,,,,,10,12,11,6.5,8,7.25,,,12,8.2
A_amanitoides,-0.179647305,"Cong, prov. Equateur, terr. Lisala, Binga",,"2.1701° N, 21.4872° E",2.1701,21.4872,Aug 17 1928,8/17/1928,8/17/1928,Terrestrial in forest in Congo,n/a,figs 206-208,M. Goossens ,77,70,86,7.06,,,,,,,,9,11,10,4.5,6,5.25,,,10,5.25
A_lanosa,0.143130413,"Congo, prov. Equateur, terr. Lisala, Binga",,"2.1701° N, 21.4872° E",2.1701,21.4872,Dec 4 1928,12/4/1928,12/4/1928,"Terrestrial in forest of Gilbertiodendron dewevrei ( DeWildem.) Leon. (""Macrolobium dewevrei"") in Congo",,figs 200-202,M. Goossens 852A ,,,,,,,,,,,,7,8,7.5,7,8,7.5,,194.3042331,,
A_lanosula,-0.057343413,"Congo, prov. Equateur, terr. Lisala, Binga",,"2.1701° N, 21.4872° E",2.1701,21.4872,Dec 4 1928,12/4/1928,12/4/1928,"Terrestrial in forest of Gilbertiodendron dewevrei (DeWildem.) Leon. (""Macrolobium dewevrei"")  in congo",,figs196-199,M. Goossens 852B,,,,,,,,,,,,8,10,9,5.5,6.5,6,,,,
A_odorata,-0.128648438,"Congo, Prov. Equatuer, terr. Lisala, Binga, ",,"2.1701° N, 21.4872° E",2.1701,21.4872,Nov 8. 1929; Jan 16 1930,1/16/1930,1/16/1930,"Terrestrial in dry forest of Gibertiodendron dewevrei (De Wildem.) Leon. (""macrolobium dewevrei"") In Congo",n/a,Figs 220-222,M. Goossens 911,,,,,,,,,,,,8,9.5,8.75,4.5,5.5,5,,,,
A_eriophora,0.066212628,"India, West Bengal, Darjeeling; Singapore, Reservoir Jungle",,"27.0416° N, 88.2664° E",27.0416,88.2664,Sept 2 +/- 1848; March 26 1931,3/26/1931,3/26/1931,Terrestrial in forest in West Bengal and Malaya,,figs 238-241,J. D Hooker 111; E.J.H Corner ,,,,,,,,,,,,9,11,10,7,9.5,8.25,,,10,8.25
A_tephrea,-0.115797578,"USA.: Tennessee, Carter Co., Roan Mountains, 1200 M Alt; Great Smoky Mountain, Cades Cove; North Carolina: Watauga Co., Blowing Rock",,"36.1637° N, 82.0950° W",36.1637,-82.095,"July 20 1935, July 18 1958; Aug 13 1938; Aug 20 1922",7/20/1935,7/20/1935,Terrrestrial in woods in eastern USA,info on pg 453,figs 192-195,L.R Hesler 8042; L.R Hesler 23016; A.H Smith (10114) and Stupka; H.R Totten 5625,,,,,,,,,,,,10,12.5,11.25,5.5,7,6.25,,,11.25,6.25
A_silvicola,-0.124787355,"USA.: Washington, Joyce; Oregon, Clackamas, Co., Mt. Hood",,"47.9504° N, 124.3855° W",47.9504,-124.3855,Oct 28 1935; Sept 30 1922,10/28/1935,10/28/1935,"terrestrial in woods and on prairies, in north-western USA. and western Canada, type collected in dense Tsuga-Thuja forest with underbrush",(include name and dates in Habitat??),figs 314-316,A.H Smith 3398; C.H Kauffman,46,36,55,0.48,,42.8,39.4,51.7,6.46,,"No data in joyce but data in Forks ~ 1 hr away, so used that, however, for monthly averages many data points missing!!",8,10,9,4.5,6,5.25,,,8.6,5.1
A_silvicola,Where did weather data come from??,"USA, Washington, Joyce; Oregon, Clackamas Co, MT Hood",,"47.9504° N, 124.3855° W",47.9504,-124.3855,Oct 28 1935; Sept 30 1992,10/28/1935,10/28/1935,"Terrestrial in woods and on prairies (Hotson, 1936:73) in North-Western USA and western Canada (Bandoni & Szczawinski, 1964; 27) type collected in dense Tsuga-Thuja forest with underbrush",,,A.H Smith 3398; C.H Kauffman,46,36,56,0.48,0,42.8,39.4,51.7,6.46,0,Had to use weather data from Fork Wa since was closest avalible data and only ~ 1 hr away; also much of monthly weather data is missing,8,10,9,4.5,6,5.25,,,8.6,5.1
A_crassifolia,-0.190958798,"USA North Carolina: Chapel Hill(?), Price's Creek,; Watauga Co. Blowing Rock, ",,"35.9132° N, 79.0558° W",35.9132,-79.0558,11 October 1936 ; 26 Aug 1922 ,10/11/1936,10/11/1936,,n/a,fig 297-299,W. C Coker 10292; A. Holland 5805,73,60,78,0,,69.8,60.4,79.2,2.7,,Source states Reliable observation times are not avalible prior to 1982; Also I used monthly averages from the chart including day month year,8.5,13,10.75,4.5,6,5.25,,,,
A_subsolitaria,-0.250343849,"Florida, Alachua Co, Gainesville",,"29.650272, 82.323944",29.650272,-82.323944,June 1 1938,6/1/1938,6/1/1938,Terrestrial in Quercus-Pinus forest in Florida,n/a,256-257,W. A Muriil F 16449,76,69,83,0.12,,78.3,68.3,88.4,9.63,,,11,13.5,12.25,4.5,6,5.25,,190.3852271,11.55,4.7
A_alliacea,-0.340291638,"Florida, Alachua Co., Tung-oil Mill near Gainesville, ",,"29.6520° N, 82.3250° W",29.652,-82.325,"June 18, 1938",6/18/1938,6/18/1938,"terrestrial under Quercus (type) and in mixed woods (Murril, 1948: 107) In Florida",n/a,369-373,W. A Murril F 16418,81.5,67,96,0,,78.3,68.3,88.4,9.63,,,13,14.5,13.75,4,4.5,4.25,,118.3398682,,
A_parva,-0.201620586,"Florida, Alachua Co., Gainesville",,"29.6520° N, 82.3250° W",29.652,-82.325,June 21 1938,6/21/1938,6/21/1938,Terrestrial under Quercus in south-eastern USA,picture on pg 533,fig 321-324,W. A Murril F 17404,74,69,79,0.58,,78.3,68.3,88.4,9.63,,,9.5,12,10.75,4,5.5,4.75,,,,
A_westii,-0.150387794,"USA., Florida, Alachua Co., Newmann's Lake east of Gainesville",,"29.6520° N, 82.3250° W",29.652,-82.325,July 7 1938,7/7/1938,7/7/1938,Terrestrial in forest (type under Quercus) in Florida. ,n/a,figs 244- 246,E West F17466,78,66,90,0,,79.2,69.8,88.6,5.11,,,11.5,14.5,13,7,8,7.5,,,12.2,6.9
A_centunculus,0.046620174,"Sinapore, Bukit Timah",,"1.3294° N, 103.8021° E",1.3294,103.8021,Aug 16 1939,8/16/1939,8/16/1939,Terrestrial in tropical forest; Malaya,,,E.J.H Corner ,,,,,,,,,,,,7,8.5,7.75,5,6,5.5,,,,
A_californica,-0.013052308,"USA, California, Santa Barbra",,"34.4203° N, 119.6989° W",34.4203,-119.6989,Feb 17 1940,2/17/1940,2/17/1940,Not listed,,figs 300-302,P.M. Rea 375,45.5,29,62,0,missing,51.4,38.3,64.6,6.18,missing,Had to use weather data from Ojai ~ 40min away,8,10,9,6,6.5,6.25,,,,
A_gymnopus,0.119174661,"Malaya, Johore, Gunong Panti",,"1.8344° N, 103.9006° E",1.8344,103.9006,April 21 1941,4/21/1941,4/21/1941,Terrestrial in jungle in Malaya,,figs 378-380,E.J.H Corner,,,,,,,,,,,,5,7,6,5,6.5,5.75,,,,
A_smithiana,-0.042287844,"USA, Washinton, Olympic Hot Springs; Oregon, Mt Hood National Forest",,"45.2271° N, 121.8358° W",45.2271,-121.8358,Oct 2 1941; Oct 21 1947,10/2/1941,10/2/1941,Terrestrial in woods in the easten USA,,figs 143-145 ,A.H Smith 17501; A.H smith 24981,49,45,53,0.06,0,54.1,47.6,60.5,15.71,0,Had to use weather data from estacada Or but only ~ 45 min away from MT hood.,11,12.5,11.75,7,8,7.5,,,10.4,6.9
A_polypyramis,-0.077681581,"USA: Maryland, Baltimore; Tennessee, Cumberland Co, Ozone; South Carolina; Alabama, Lee Co., Auburn; Louisiana, St. Tammy Parish S of Abita Florida, Alachua Co, Sugarfoot near gainesville; Gainesville",,"35.8820° N, 84.8091° W",35.882,-84.8091,Oct 1925; Oct 13 1962; Nov 12 1955; Nov 1850; Oct 1895; Nov 1 1959; Nov 7 1938; Oct 30 1941,10/30/1941,10/30/1941,"Terrestrial in dry, coniferous and deciduous woods in eastern and south-eastern USA",info pg 440,figs 173-176,Kelly 1882; AJ Sharpp 25000; L. R Hesler 22216; M.A Curtis 2854; Underwood and F.S Earle; Arnold and W.A Murril F 17684; W.A Murril F 19661,69,60,78,0.92,0,57.5,45.9,69,4.63,0,Used weather data for crossville ~ 20 min away from ozone.,10,13,11.5,6.5,8,7.25,,,11,6.75
A_roanokensis,-0.33102638,"North Carolina, Dare Co. Roanoke Island, near Fort Raleigh; Florida Columbia Co., Camp O' Leno ; Alachua Co, gainesville",,"35.8897° N, 75.6615° W",35.8897,-75.6615,"Sept 17, 1927; Oct 19. 1941 ; July 1 1942",7/1/1942,7/1/1942,"Terrestrial in dry, mixed woods in easterm and south-eastern USA",n/a,361-368,W. C Coker and Braxton 8255; W.A murril F 21875; W.A Murrill F 10357,74.5,70,79,0,,79.7,69.1,74.4,2.34,,,12.5,15,13.75,3.5,5,4.25,,,,
A_vestita,-0.010953816,"Singappore, Botanic Gardens, ",,"1.3138° N, 103.8159° E",1.3138,103.8159,March 23 1943,3/23/1943,3/23/1943,Terrestrial in Jungle; Malaya,,figs 228-230,E.J.H Corner ,,,,,,,,,,,,7.5,9,8.25,5.5,6.5,6,,343.2661212,,
A_pelioma,-0.051112677,"USA, North Carolina, Orange Co, Chapel Hill; Tennessee, Knoxville",,"35.9132° N, 79.0558° W",35.9132,-79.0558,"Sept 23, 1914; June 6 1939; July 6 1943",7/6/1943,7/6/1943,,,figs 217-219,H.R Totten 1253; L.R Hesler 12225; L.R Hesler 15789,76,65,87,0,missing,66.9,67.1,76.6,4.5,missing,Some of the data points were missing for the monthly. ,10,12.5,11.25,6.5,8,7.25,,,11.7,7.55
A_praelongispora,-0.235581026,"South Carolina, Horry Co., Myrtle Beach, ; Florida Alachua Co., Gainesville",,"33.824738, 78.684364",33.824738,78.684364,July 1945; May 16 1938,7/15/1945,7/15/1945,Terrestrial under oak (type) an din open woods in dunes in south eastern USA,info on pg 532,figs 325- 329,W. C Coker 13789; W.A Murril F 16108,73,60,86,0,,77,65.4,88.7,5.332,,,10,12.5,11.25,4,5,4.5,,,10.85,4.35
A_inodora,-0.330468978,"South carolina, Myrtle beach",,"33.6954° N, 78.8802° W",33.6954,-78.8802,July 22 1946;Aug 29 1944,7/22/1946,7/22/1946,Terrestrial under Quercus and in mixed forest in southeastern USA,p.547 ,fig 356,coker 13718,77,71,83,0.4,,77.5,69.8,85.3,6.82,,,11.5,13.5,12.5,3.5,4.5,4,,144.3169125,,
A_boliviana,0.057007379,"Bolivia, dep, Pando, Cobijia",,"11.0181° S, 68.7553° W",-11.0181,-68.7553,Feb 1 1948,2/1/1948,2/1/1948,Terrestrial in forest in Bolivia,,figs 52-54,E.J.H Corner Bol. 9,,,,,,,,,,,,8,9.5,8.75,6.5,7.5,7,,148.9114917,,
A_praeclara,0.113207191,"South Africa, Cape Province, Simonstown; Somerset East",,"34.1935° S, 18.4358° E",-34.1935,18.4358,April 22 1948; 1878,4/22/1948,4/22/1948,"Terrestrial in fields and on lawns, South Africa",,figs 81-83,A.A Pearson 10; MacOwan 1011,,,,,,,,,,,,8,9.5,8.75,8,9,8.5,,,,
A_roseolescens,0.143250279,"South Africa, Cape Province, Valkenberg",,"33.9363° S, 18.4778° E",-33.9363,18.4778,May 1949,5/1/1949,5/1/1949,Terestrial in fields; South Africa,,figs 71-73,M. Cole-Rous & E. L Stephens ( Holotype: A. A Pearson 681 K),,,,,,,,,,,,9,11,10,8,10,9,,549.4784303,,
A_praegraveolens,0.14682661,"USA, Florida, Gainesville",,"29.6520° N, 82.3250° W",29.652,-82.325,Oct 25 1938;Aug 11 1944; July 26 1944; July 26 1944; July 23 1950,7/23/1950,7/23/1950,Terrestrial under hedges and on lawns in Florida.,,figs 74-77,W. A Murrill F 18298; W.A Murrill F 32707; W. A Murril F 32728; W.A Murril,61.5,49,74,0.2,missing,68.7,57.4,79.9,9.19,missing,,7,9,8,6.5,8,7.25,,287.1553129,,
A_lilloi,0.117252691,"Argentina, tucuman, Ciudad",,"26.8083° S, 65.2176° W",-26.8083,-65.2176,Nov 6 1950,11/6/1950,11/6/1950,"Terrestrial (type found in garden), Argentina",,figs 48-51,M. Grassi T. 1016,,,,,,,,,,,,7,8.5,7.75,6,7,6.5,,294.5243112,,
A_ochrophylla,-0.040995511,"Australia, Queensland, Brisbane; National PArk on Dave's Creek; N.S Wales, Sydney; N.S Wales?, North Bay",,"27.4705° S, 153.0260° E",-27.4705,153.026,Without date; March 22 1952; Without date; Feb 1916,3/22/1952,3/22/1952,"Terrestrial, often at edge of open forest, in eastern and south-eastern Australia",,figs 374-377,F. M Bailey 655; J.E.C Aberden 482; Without collector No 58; J.B Cleland 8,,,,,,,,,,,,9,11,10,5.5,7,6.25,,184.1153936,10,6.75
A_ochroterrea,-0.17889961,"Australia, W. Australisa, Perth, King's Park",,"31.9610° S, 115.8415° E ",-31.961,115.8415,June 1953,6/15/1953,6/15/1953,Terrestrial in West Australia,n/a,figs 278-281,J. Gentilli,,,,,,,,,,,,11,13,12,5,6.5,5.75,,,,
A_preissii,-0.161093521,"Australia, W. Australia, Perth, King's Park,",,"31.9609° S, 115.8322° E",-31.9609,115.8322,June and July 1953,7/15/1953,7/15/1953,Terrestrial under shrubs and Eucalyptus in West australia ,,figs 330- 332,J. Gentilli ,,,,,,,,,,,,10,12,11,5.5,6,5.75,,117.1217157,,
A_rhoadsii,-0.302555094,"South Carolina, Horry Co., Sw Of Myrtle Beach, Alabama, Lee Co., Auburn",,"33.6954° N, 78.8802° W",33.6954,-78.8802,"July 28 1948, Aug 1 1955",8/1/1955,8/1/1955,Terrestrial in deciduous (often Quercus) and coniferous woods in south-eastern USA,Lots of collections not clear which it is ,figs 262-266,W.C Coker 14442; L.R Hesler & Moore 21958,83.5,79,88,0,,80.7,72.5,88.9,11.656,,,10.5,13.5,12,3.5,4.5,4,,340.4701037,,
A_rhopalopus,-0.029670715,"USA: New Jersey, ; Tennessee, Knoxville; Great Smokt Mountains, Cades Cove; Norht Carolina Blowing Rock",,"35.9653° N, 83.9233° W",35.9653,-83.9233,"July 26 1899, July 29 1899; July 11 1934; Aug 13 1938, Sept 1 1940, Oct 1 1955, sept 26 1963; Aug-Sept 1899",10/1/1955,10/1/1955,Terrestrial in woods in eastern USA,,figs 137-141,"E.B Sterling 114, E.B Sterling 138; J.K Underwood 4074; A.H Smith, L.R Hesler 12852,  L.R HEsler 22132; C. Bas 3930; G.F Atkinson 3731",79.5,70,89,0.03,0,81.2,70.8,91.6,4.35,0,,8.5,11,9.75,5.5,7,6.25,,,9.45,6.1
A_codinae,-0.006965996,"Spain, Cataluna, Franciac de la Selva; Morocco, Littoral North of Rabat; Chef el Akab; Temara; Azaghar, west of Khenifra",,"41.8743° N, 2.7854° E",41.8743,2.7854,Oct 22 1931; Nov 10 1968; Nov 21 1964; Oct 22 1953; Nov 8 1955,11/8/1955,11/8/1955,"Terrestrial in fields and woods; in southern France, Western Spain and Morocco",,figs 32-37,"E.Gros; M. guiet ( G. Malencon 7002); G. Malencon 5618; G. Malencon 2550; pourquier ( notes and drawings only, herb. Malencon 2907)",,,,,,,,,,,,10,13.5,11.75,7,10,8.5,,,10.95,8.1
A_salmonea,0.048377987,"USA, Texas, Brazos Co, College Station",,"30.6210° N, 96.3255° W",30.621,-96.3255,Sept 14 1951; Oct 23 1957; ,10/23/1957,10/23/1957,Terrestrial on lawns in Texas,,figs 45-47,H.D Thiers 1393; H.D Thiers 4701,80,70,90,0,0,80.5,70,91.1,5.9,0,,11,13.5,12.25,8,10,9,,,,
A_timida,0.069660769,"Sigapore, MAc Ritchie Reservoir; Sarawak, Bintulu",,"1.3448° N, 103.8224° E",1.3448,103.8224,"Oct 30 1934, Nov 7 1934; June 23 1960",6/23/1960,6/23/1960,"Terrestrial in tropical forest. Singapore, N. Borneo",,figs 96-98,"E.J.H corner, E.J.H Corner; Ding Hou 358",,,,,,,,,,,,7,9,8,5.5,7,6.25,,,,
A_vittadinii,0.031693621,"Netherlands, Delft; czechoslovakia, Bohemia, prauge; Slovakia, Near Komaro; Hungary, tolna, kolesd",,"52.0116° N, 4.3571° E",52.0116,4.3571,eight collections from same locality between July 1942 and July 1956; Aug 28 1937; Oct 10 1951; Aug 2 1960,8/2/1960,8/2/1960,"Terrestrial in fields, open woods, parks etc",,,n/a; Petibok;; M. Deyl; G. Bohus & L. Imreh,,,,,,,,,,,,10,13,11.5,7.5,10,8.75,,,11.5,8.75
A_bubalina,-0.002471047,"Argentina, Tucuman, Ciudad universitaria",,"26.8083° S, 65.2176° W",-26.8083,-65.2176,March 3 1962,3/3/1962,3/3/1962,Terrestrial in forest at about 1000m alt; Argentina.,,figs 58-61,E. Horak 64/69,,,,,,,,,,,,7,9,8,5,6.5,5.75,,174.8738098,,
A_strobiliformis,-0.044143426,"England, Surrey, Norbury Park; Netherlands, Noord-Holland, Heemskerk; Utrechht, Bunnik near Rhiknauwen; Gelderland, Doetinchem, Slangenburg; Zeelad, Walcheren, Zeeduin; Beligium, Montagene St Pierre; France, Haute Prenees, St Pe; Czechoslovakia Bohemia, Prauge; Slovakia, Zarosice; Austria, Nieder-Osterreich, Strasshof-SilberwaldItaly, Trentino Trento, Gocciadoro; Margon S of Trnto; Sopramonte W of Trento; Vilazzona Se of Trento",,"51.4141756° N, 0.1221802° W.",51.4141756,-0.1221802,Oct 10 1962; Without date; Sept 1862; Sept 21 1925; Sept 29 1953; Sept 3 1938; June 23 1950; about 1945; July 20 1966; June 22 1942; June-Aug 1930; june 23 1904; Oct 1901; Aug 1897; July 1901,10/10/1962,10/10/1962,"Terrestrial in woods in Europe (except northern parts); Prefrence for deciduous wood on heavvy, calcareous soil.",,figs 303-305,R.W.G Dennis; Anonym; Hartsen; C. Bas 199; H.S.C Huijsman 30 & 358; R. de Nivelle; Anonym; J. Durdil; V. Vacek; Th. Ceronhorsky & E. Wallauschek; J. Bresadola; J. Bresadola; Turco-Lazzari; Turco-Lazzari,,,,,,,,,,,,10,13.5,11.75,7,8.5,7.75,,230.0971181,11.75,7.75
A_singeri,0.118286527,"Argentina, Buenos Aires: Sierra de la Ventana; Monreno",,"38.1393° S, 61.7941° W",-38.1393,-61.7941,Nov 15 1962; Dec 9 1962,11/15/1962,11/15/1962,Under various trees and in fields in Argentina,,figs 55-57,R. Singer & J. E Wright 238; R. Singer S 392,,,,,,,,,,,,7,9,8,5,7,6,,230.0971181,9.25,6.2
A_crassa,-0.017469383,"Argentina, Rio Negro, Chimpay",,"39.1644° S, 66.1458° W",-39.1644,-66.1458,Jan 3 1963,1/3/1963,1/3/1963,Terrestrial in Argentina,,fig 118-121,I. Gamundi 395,,,,,,,,,,,,7,9,8,4,5.6,4.8,,203.7626522,,
A_xanthogala,-0.008387762,"North Borneo, Mt Kinabau, Kundasan (1500m alt.); Mesilau Camp (1400 m alt.)",,"6.0753° N, 116.5588° E",6.0753,116.5588,"Sept 5 1961; April 2 1964, April 9 1963",4/9/1963,4/9/1963,Terrestrial in mountain oak forest in North Borneo,,figs 250-255,"E.J.H Corner RSNB 2793; E.J.H Corner RSNB 8053a, E.J.H Corner RSNB 8053b",,,,,,,,,,,,8.5,10,9.25,5.5,7,6.25,,,,
A_hesleri,-0.123717771,"USA: North Carolina, Chapel Hill, Emerson Farm; Tennessee, Knoxville; Great Smoky MTs, Cades Cove",,"35.9132° N, 79.0558° W",35.9132,-79.0558,Sept 28 1923; July 11 1963; Oct 6 1957,7/11/1963,7/11/1963,Terrestrial in woods in eastern USA,n/a,figs 66-70,W.C Coker 7166; July 11 1963; L.R Hesler 22694,70.5,63,78,0,,73.5,62.2,84.8,5.19,,,10.5,12.5,11.5,5.5,7,6.25,,,11,5.8
A_lutescens,-0.0247948,"Japan, Honshu, Otsu-city, Terabe",,"35.0178° N, 135.8552° E",35.0178,135.8552,July 12 1963,7/12/1963,7/12/1963,Terrestrial in deciduous as well as coniferous woods in Japan,,figs 223-225,T. Hongo 2723,n/a,69,82,0.02,0,n/a,70,87,6.92,0,Weather data from Hirakato ~ 1 hr away ,8,10,9,5.5,6.5,6,,,,
A_crassiconus,0.023280243,"Nigeria, Northern Provinces, Kantagora","10.402120, 5.471575","9.0820° N, 8.6753° E",10.40212,5.471575,Aug 1963,8/15/1963,8/15/1963,Terrestrial in Nigeria,,figs 269-271,S.O Alasoadura 117,,,,,,,,,,,,8,10,9,6.5,7.5,7,,,9.65,7.25
A_daucipes,-0.101046047,"USA.: Ohio, Columbus,; Pennsylvania, Boumai Town; Tennessee, knox co., Roaring springs; North Carolina, Chapel Hill",,"39.9625° N, 83.0032° W",39.9625,-83.0032,Aug 22 1963; Aug 19255; July 15 1934; Sept 29 1911; sept 21 1944; Sept 30 1946,8/22/1963,8/22/1963,Terrestrial in woods in eastern USA,info on pg 447,"figs 184, 185, 187","Sullivant 193; R. Homola ( C. Bas 3856); Krieger (Kelly 1978 MICH); L.R Hesler 4213 (TENN) W.C Coker 309(A. Chlorinosma form B"" NCU) W.C Coker 14005 (NCU); J.N Couch 14042 (NCU)",69,56,85,0,0,69.8,58.1,81.6,3.67,0,,9,11,10,5.5,6.5,6,,,9.75,5.9
A_microlepis,-0.028652461,"USA, Massachusetts, Franklin Co, Conway State Forest; North Carolina, Orange Co, Chapel Hill",,"35.9132° N, 79.0558° W",35.9132,-79.0558,Aug 23 1963; Sept 29 1913; ,8/23/1963,8/23/1963,Terrestrial in mixed forests in eastern and north-eastern USA,info on pg 424,figs 149-151,C.Bas 3784; W.C Coker 858,69,60,78,missing ,missing,69,59.2,78.8,4.58,missing,"Some days missing from. monthly data, and some precipitation data missing",9,11,10,6.5,8,7.25,,192.2301274,,
